Reading the plan and exploring referenced codebase paths for edge-case and failure-mode review.
schema_version	scope	severity	focus_area	location	what	scenario_or_breakage	suggested_fix

**1. Stage 1 “no token args → N/A” is not true in today’s renderer** (`scripts/render-run-summary.sh:130-164`, `scripts/token-cost.sh:225-236`). Omitting CLI flags still leaves internal zero defaults and a successful `TOTAL_COST=0.00`. Stage 1 and the “token-data-missing → N/A” tests need an explicit cost-unavailable contract or should skip to self-composed `N/A`.

**2. Design plan references a chat-print loop that does not exist** (`render-final-summary.sh:305-311`). Fallback must add stdout/FD3 printing or chat stays empty despite a good `final-summary.md`.

**3. `invoke_render` must not run under bare `set -e`** (`render-final-summary.sh:3`, `:298-302`). Capture renderer exit status before fallback.

**4. Implement token-missing primary path still passes zeros** (`write-final-report.sh:178-185`). Case 2 needs primary-path FINDING_12 alignment, not fallback-only.

**5. Stage 2 Outcome bullet rules** must match `render-run-summary.sh:216-218`, not blanket `N/A` Outcome lines.

**6. Stage 1 should omit `--note-lines-file`** to avoid note-file failures blocking recovery.

**7. Design-only self-composed fallback** loses gathered metadata vs implement’s two-stage approach (latent asymmetry).

**8–9.** Doc/test-count nit; **[OUT_OF_SCOPE]** Step 17 `|| true` and corrupt-json `$0.00` paths per plan boundaries.
